Source:,/home/caudanie/Documents/KiCadProjects/MMDVM_HS_Hat/mmdvm_hs-hat.sch,,,,,,,,,,
Date:,Mon 28 May 2018 01:47:52 PM CEST,,,,,,,,,,
Tool:,Eeschema 5.0.0-rc2-unknown-da66005~65~ubuntu16.04.1,,,,,,,,,,
Generator:,/usr/lib/x86_64-linux-gnu/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,76,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MFR,MPN,SPN,SPR,SPURL
,,R14,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R15,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R16,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R17,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R18,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R19,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,SW1,DNI,mmdvm_hs-hat-rescue:SW_DIP_x01-RESCUE-mmdvm_hs-hat,Buttons_Switches_SMD:SW_SPST_B3U-1000P,http://www.mouser.com/ds/2/307/en-b3u-3615.pdf,Omron Electronics,B3U-1000P,653-B3U-1000P,Mouser,
,,U1,ADF7021,adf7021:ADF7021,Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm,http://www.mouser.com/ds/2/609/ADF7021-878461.pdf,Analog Devices,ADF7021BCPZ,584-ADF7021BCPZ,Mouser,
,,U2,STM32F103C8T6,stm32f103c8t6:STM32F103C8T6,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm,http://www.mouser.com/ds/2/389/stm32f103c8-956229.pdf,STMicroelectronics,STM32F103C8T6,511-STM32F103C8T6,Mouser,
,,X1,TCXO,mmdvm_hs-hat-rescue:TCXO_DFAS11-RESCUE-mmdvm_hs-hat,Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm,http://www.mouser.com/ds/2/122/ECS-TXO-3225-608196.pdf,ECS,ECS-TXO-3225-147.4-TR,520-TXO-3225-14.74T,Mouser,
,,Y1,8MHz,mmdvm_hs-hat-rescue:Crystal-RESCUE-mmdvm_hs-hat,Crystals:Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm,http://www.mouser.com/ds/2/3/abm3-47699.pdf,ABRACON,ABM3-8.000MHz-D2Y-T,815-ABM3-8-D2Y-T,Mouser,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Collated Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MFR,MPN,SPN,SPR,SPURL
1,1,AE1,CERAMIC_ANTENNA,mmdvm_hs-hat-rescue:Antenna_Dipole-RESCUE-mmdvm_hs-hat,MMDVM:ANT1204,http://www.mouser.com/ds/2/447/An_SMD_UHF_433_1204_0-595178.pdf,Yageo,ANT1204F002R0433A,603-ANT1204F002R0433,Mouser,
2,2,"C1, C6",6p8,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GJM1555C1H6R8BB01D,81-GJM1555C1H6R8BB1D,Mouser,
3,6,"C2, C7, C9, C17, C19, C22",10n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402Y103KXJCW1BC,77-VJ0402Y103KXJCBC,Mouser,
4,1,C3,220p,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GRM1555C1H221JA01D,81-GRM1555C1H221JA01,Mouser,
5,1,C4,10p,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GRM1555C1E100GA01D,81-GRM1555C1E100GA1D,Mouser,
6,1,C5,4p7,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GRM1555C1H4R7CA01D,81-GRM1555C1H4R7CA1D,Mouser,
7,11,"C8, C10, C15, C16, C20, C24, C25, C26, C27, C28, C29",100n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402V104ZXJCW1BC,77-VJ0402V104ZXJCBC,Mouser,
